Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0193327740236747,0.000357362284587354,0.302224740304159,0,0,0,95.4830322905057,0.836174315731899,-0.000182558276359213,0.00132925805770279,0.720303102414471,-0.000258706744252241,0.722870275760771,0,0,0,0,0,0,package://matrix_true_description/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://matrix_true_description/meshes/base_link.STL,,22077-0100-000-1;22077-0200-000-1;22077-0300-000-1;22077-0400-000-1;22077-0500-000-1;22077-0600-000-1;22077-0700-000-1;22077-0800-000-1;base_module_cover-1;module_display-1,base_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_right_link,-1.3878E-17,0.00082541,2.7905E-10,0,0,0,1.2499,0.0023164,-7.259E-19,-9.0858E-26,0.0038673,3.5318E-10,0.0023164,0,0,0,0,0,0,package://matrix_true_description/meshes/wheel_right_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://matrix_true_description/meshes/wheel_right_link.STL,,ZLLG65ASM250-4096 SINGLE-2,wheel_right_frame,wheel_right_axis,wheel_right_joint,continuous,0.00370810119881812,-0.2171,0.0850001069853645,0,1.5707963267949,0,base_link,0,-1,0,8,20.944,,,,,,,,,,
wheel_left_link,2.579E-10,-0.00082541,-1.0655E-10,0,0,0,1.2499,0.0023164,-3.2641E-10,7.6444E-20,0.0038673,1.3486E-10,0.0023164,0,0,0,0,0,0,package://matrix_true_description/meshes/wheel_left_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://matrix_true_description/meshes/wheel_left_link.STL,,ZLLG65ASM250-4096 SINGLE-1,wheel_left_frame,wheel_left_axis,wheel_left_right,continuous,0.0037081011988188,0.2171,0.0850001069853643,0,1.5707963267949,0,base_link,0,1,0,8,20.944,,,,,,,,,,
caster_arm_fr_link,-0.0049485,9.0737E-05,-0.011133,0,0,0,0.022869,5.467E-06,1.0185E-09,-1.276E-06,5.6833E-06,9.1538E-10,5.7221E-06,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_arm_fr_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_arm_fr_link.STL,,LRA-VPA 50K-GS10_arm-1,caster_arm_fr_frame,caster_arm_fr_axis,caster_arm_fr_joint,continuous,0.175000000000001,-0.0999999999999988,0.069116,0,0,0,base_link,0,0,1,,,,,,,,,,,,
caster_wheel_fr_link,2.4597E-08,-1.0921E-09,-7.5675E-09,0,0,0,0.037215,6.8378E-06,7.8988E-12,-5.3162E-11,1.1315E-05,-2.084E-12,6.8374E-06,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_wheel_fr_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_wheel_fr_link.STL,,LRA-VPA 50K-GS10_wheel-1,caster_wheel_fr_frame,caster_wheel_fr_axis,caster_wheel_fr_joint,continuous,-0.0250000000000008,0,-0.044,0,1.5707963267949,0,caster_arm_fr_link,0,1,0,,,,,,,,,,,,
caster_arm_fl_link,-0.0049485,9.0737E-05,-0.011133,0,0,0,0.022869,5.467E-06,1.0185E-09,-1.276E-06,5.6833E-06,9.1539E-10,5.7221E-06,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_arm_fl_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_arm_fl_link.STL,,LRA-VPA 50K-GS10_arm-2,caster_arm_fl_frame,caster_arm_fl_axis,caster_arm_fl_joint,continuous,0.174999999999999,0.100000000000001,0.069116,0,0,0,base_link,0,0,1,,,,,,,,,,,,
caster_wheel_fl_link,2.4597E-08,-1.0921E-09,-7.5675E-09,0,0,0,0.037215,6.8378E-06,7.8988E-12,-5.3162E-11,1.1315E-05,-2.084E-12,6.8374E-06,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_wheel_fl_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_wheel_fl_link.STL,,LRA-VPA 50K-GS10_wheel-6,caster_wheel_fl_frame,caster_wheel_fl_axis,caster_wheel_fl_joint,continuous,-0.0249999999999994,0,-0.0439999999999999,0,1.5707963267949,0,caster_arm_fl_link,0,1,0,,,,,,,,,,,,
caster_arm_rr_link,-0.0049485,9.0737E-05,-0.011133,0,0,0,0.022869,5.467E-06,1.0185E-09,-1.276E-06,5.6833E-06,9.1538E-10,5.7221E-06,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_arm_rr_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_arm_rr_link.STL,,LRA-VPA 50K-GS10_arm-10,caster_arm_rr_frame,caster_arm_rr_axis,caster_arm_rr_joint,continuous,-0.174999999999999,-0.100000000000001,0.069116,0,0,0,base_link,0,0,1,,,,,,,,,,,,
caster_wheel_rr_link,2.4597E-08,-1.0921E-09,-7.5675E-09,0,0,0,0.037215,6.8378E-06,7.8988E-12,-5.3162E-11,1.1315E-05,-2.084E-12,6.8374E-06,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_wheel_rr_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_wheel_rr_link.STL,,LRA-VPA 50K-GS10_wheel-8,caster_wheel_rr_frame,caster_wheel_rr_axis,caster_wheel_rr_joint,continuous,-0.0250000000000008,0,-0.044,0,1.5707963267949,0,caster_arm_rr_link,0,1,0,,,,,,,,,,,,
caster_arm_rl_link,-0.0049485,9.0737E-05,-0.011133,0,0,0,0.022869,5.467E-06,1.0185E-09,-1.276E-06,5.6833E-06,9.1538E-10,5.7221E-06,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_arm_rl_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://matrix_true_description/meshes/caster_arm_rl_link.STL,,LRA-VPA 50K-GS10_arm-7,caster_arm_rl_frame,caster_arm_rl_axis,caster_arm_rl_joint,continuous,-0.175000000000001,0.0999999999999989,0.069116,0,0,0,base_link,0,0,1,,,,,,,,,,,,
